region	chr	midPos	Nsites
(198112,206744)(1310000,1359848)(1310000,1360000)	DPSCF300001	1335000	8634	0.029356
(201297,207054)(1326059,1366904)(1320000,1370000)	DPSCF300001	1345000	5759	0.030481
(202716,207408)(1338611,1374436)(1330000,1380000)	DPSCF300001	1355000	4694	0.030641
(203735,209993)(1340000,1389999)(1340000,1390000)	DPSCF300001	1365000	6260	0.031836
(204942,213878)(1350000,1399999)(1350000,1400000)	DPSCF300001	1375000	8938	0.031721
(206745,215437)(1366000,1407716)(1360000,1410000)	DPSCF300001	1385000	8694	0.032172
(207055,218235)(1370336,1418918)(1370000,1420000)	DPSCF300001	1395000	11182	0.031821
(207409,219813)(1382769,1427750)(1380000,1430000)	DPSCF300001	1405000	12406	0.031056
(209994,220413)(1390000,1438033)(1390000,1440000)	DPSCF300001	1415000	10421	0.030362
(213879,221061)(1400000,1449120)(1400000,1450000)	DPSCF300001	1425000	7184	0.028956
(215438,222437)(1411000,1457893)(1410000,1460000)	DPSCF300001	1435000	7001	0.029230
(218236,222995)(1421206,1467156)(1420000,1470000)	DPSCF300001	1445000	4761	0.028176
(219814,225124)(1430640,1479999)(1430000,1480000)	DPSCF300001	1455000	5312	0.028907
(220414,225128)(1441531,1480003)(1440000,1490000)	DPSCF300001	1465000	4716	0.029147
(221062,226434)(1453880,1497640)(1450000,1500000)	DPSCF300001	1475000	5374	0.027746
(222438,226722)(1463616,1507685)(1460000,1510000)	DPSCF300001	1485000	4286	0.025439
(222996,227978)(1470399,1519801)(1470000,1520000)	DPSCF300001	1495000	4984	0.026953
(225125,229648)(1480000,1528131)(1480000,1530000)	DPSCF300001	1505000	4525	0.026651
(225129,232285)(1495733,1537151)(1490000,1540000)	DPSCF300001	1515000	7158	0.025705
(226435,233560)(1507289,1547933)(1500000,1550000)	DPSCF300001	1525000	7127	0.026291
(226723,234232)(1513945,1559999)(1510000,1560000)	DPSCF300001	1535000	7511	0.026181
(227979,236363)(1521772,1566608)(1520000,1570000)	DPSCF300001	1545000	8386	0.025787
(229649,236908)(1530469,1579657)(1530000,1580000)	DPSCF300001	1555000	7261	0.025533
(232286,237576)(1542018,1587448)(1540000,1590000)	DPSCF300001	1565000	5292	0.026548
(233561,239738)(1551008,1595744)(1550000,1600000)	DPSCF300001	1575000	6179	0.029820
(234233,243678)(1560007,1609931)(1560000,1610000)	DPSCF300001	1585000	9447	0.029017
(236364,244230)(1571255,1619478)(1570000,1620000)	DPSCF300001	1595000	7868	0.028428
(236909,246256)(1582024,1629323)(1580000,1630000)	DPSCF300001	1605000	9349	0.028304
(237577,247113)(1591802,1637866)(1590000,1640000)	DPSCF300001	1615000	9538	0.027846
(239739,248908)(1600536,1647339)(1600000,1650000)	DPSCF300001	1625000	9171	0.023581
(243679,248947)(1610864,1658667)(1610000,1660000)	DPSCF300001	1635000	5270	0.021940
(244231,249950)(1622427,1669574)(1620000,1670000)	DPSCF300001	1645000	5721	0.022173
(246257,250307)(1632289,1679999)(1630000,1680000)	DPSCF300001	1655000	4052	0.021769
(247114,252194)(1640172,1688191)(1640000,1690000)	DPSCF300001	1665000	5082	0.021884
(248909,254989)(1654899,1697524)(1650000,1700000)	DPSCF300001	1675000	6082	0.023967
(248948,258636)(1665509,1708783)(1660000,1710000)	DPSCF300001	1685000	9690	0.027712
(249951,259990)(1674942,1719220)(1670000,1720000)	DPSCF300001	1695000	10041	0.027986
(250308,262461)(1680000,1726611)(1680000,1730000)	DPSCF300001	1705000	12155	0.029485
(252195,264554)(1690244,1738048)(1690000,1740000)	DPSCF300001	1715000	12361	0.030576
(254990,265564)(1702972,1749999)(1700000,1750000)	DPSCF300001	1725000	10576	0.031009
(258637,270808)(1711754,1759999)(1710000,1760000)	DPSCF300001	1735000	12173	0.032952
(259991,272162)(1720685,1769999)(1720000,1770000)	DPSCF300001	1745000	12173	0.033567
(262462,273787)(1732321,1779999)(1730000,1780000)	DPSCF300001	1755000	11327	0.032888
(264555,276189)(1741250,1788421)(1740000,1790000)	DPSCF300001	1765000	11636	0.030489
(265565,276965)(1750000,1799445)(1750000,1800000)	DPSCF300001	1775000	11402	0.030546
(270809,277997)(1760000,1803385)(1760000,1810000)	DPSCF300001	1785000	7190	0.024969
(272163,280836)(1770000,1819423)(1770000,1820000)	DPSCF300001	1795000	8675	0.023114
(273788,281408)(1780000,1829063)(1780000,1830000)	DPSCF300001	1805000	7622	0.023230
(276190,283523)(1794181,1837765)(1790000,1840000)	DPSCF300001	1815000	7335	0.022757
(276966,285195)(1800621,1848400)(1800000,1850000)	DPSCF300001	1825000	8231	0.022495
(277998,286738)(1812632,1856233)(1810000,1860000)	DPSCF300001	1835000	8742	0.023654
(280837,289536)(1820690,1867230)(1820000,1870000)	DPSCF300001	1845000	8701	0.026822
(281409,293804)(1830944,1879841)(1830000,1880000)	DPSCF300001	1855000	12397	0.035398
(283524,295901)(1842209,1889999)(1840000,1890000)	DPSCF300001	1865000	12379	0.037914
(285196,296281)(1853514,1896057)(1850000,1900000)	DPSCF300001	1875000	11087	0.039294
(286739,299319)(1862602,1908982)(1860000,1910000)	DPSCF300001	1885000	12582	0.039472
(289537,301125)(1872120,1919254)(1870000,1920000)	DPSCF300001	1895000	11590	0.040273
(293805,301801)(1883289,1929999)(1880000,1930000)	DPSCF300001	1905000	7998	0.031379
(295902,304133)(1890000,1939999)(1890000,1940000)	DPSCF300001	1915000	8233	0.030644
(296282,305449)(1901034,1944430)(1900000,1950000)	DPSCF300001	1925000	9169	0.030467
(299320,307493)(1911801,1959060)(1910000,1960000)	DPSCF300001	1935000	8175	0.028496
(301126,308969)(1921049,1968956)(1920000,1970000)	DPSCF300001	1945000	7845	0.026382
(301802,309010)(1930000,1976435)(1930000,1980000)	DPSCF300001	1955000	7210	0.027095
(304134,310855)(1940000,1986063)(1940000,1990000)	DPSCF300001	1965000	6723	0.027116
(305450,311818)(1951200,1993246)(1950000,2000000)	DPSCF300001	1975000	6370	0.029578
(307494,313125)(1965752,2008497)(1960000,2010000)	DPSCF300001	1985000	5633	0.029243
(308970,315174)(1975462,2019999)(1970000,2020000)	DPSCF300001	1995000	6206	0.027319
(309011,316604)(1981011,2029134)(1980000,2030000)	DPSCF300001	2005000	7595	0.026774
(310856,317048)(1991270,2039314)(1990000,2040000)	DPSCF300001	2015000	6194	0.027529
(311819,318860)(2000037,2047292)(2000000,2050000)	DPSCF300001	2025000	7043	0.025128
(313126,319920)(2014190,2058429)(2010000,2060000)	DPSCF300001	2035000	6796	0.024175
(315175,320959)(2020000,2069253)(2020000,2070000)	DPSCF300001	2045000	5786	0.024904
(316605,324427)(2033036,2078619)(2030000,2080000)	DPSCF300001	2055000	7824	0.026123
(317049,326527)(2040823,2089926)(2040000,2090000)	DPSCF300001	2065000	9480	0.027818
(318861,327723)(2055634,2099999)(2050000,2100000)	DPSCF300001	2075000	8864	0.027452
(319921,328227)(2062581,2107247)(2060000,2110000)	DPSCF300001	2085000	8308	0.027867
(320960,328641)(2073911,2116285)(2070000,2120000)	DPSCF300001	2095000	7683	0.028149
(324428,328975)(2083461,2129999)(2080000,2130000)	DPSCF300001	2105000	4549	0.029056
(326528,330652)(2090258,2131679)(2090000,2140000)	DPSCF300001	2115000	4126	0.026887
(327724,331696)(2100000,2144481)(2100000,2150000)	DPSCF300001	2125000	3974	0.027575
(328228,332185)(2113790,2159999)(2110000,2160000)	DPSCF300001	2135000	3959	0.027849
(328642,334720)(2122593,2169999)(2120000,2170000)	DPSCF300001	2145000	6080	0.025670
(328976,336294)(2130000,2173241)(2130000,2180000)	DPSCF300001	2155000	7320	0.025786
(330653,337647)(2142481,2189199)(2140000,2190000)	DPSCF300001	2165000	6996	0.027979
(331697,340680)(2150311,2196766)(2150000,2200000)	DPSCF300001	2175000	8985	0.027943
(332186,342370)(2160001,2209893)(2160000,2210000)	DPSCF300001	2185000	10186	0.028520
(334721,344946)(2170000,2219526)(2170000,2220000)	DPSCF300001	2195000	10227	0.030429
(336295,345241)(2181659,2229134)(2180000,2230000)	DPSCF300001	2205000	8948	0.030489
(337648,347560)(2191052,2237439)(2190000,2240000)	DPSCF300001	2215000	9914	0.028815
(340681,349401)(2200021,2249201)(2200000,2250000)	DPSCF300001	2225000	8722	0.028939
(342371,350565)(2212760,2256911)(2210000,2260000)	DPSCF300001	2235000	8196	0.027957
(344947,350764)(2228824,2269999)(2220000,2270000)	DPSCF300001	2245000	5819	0.025096
(345242,354538)(2232337,2279679)(2230000,2280000)	DPSCF300001	2255000	9298	0.027733
(347561,357431)(2242225,2289999)(2240000,2290000)	DPSCF300001	2265000	9872	0.026903
(349402,360048)(2252176,2298072)(2250000,2300000)	DPSCF300001	2275000	10648	0.025821
(350566,361792)(2262771,2309999)(2260000,2310000)	DPSCF300001	2285000	11228	0.028720
(350765,362408)(2270000,2317324)(2270000,2320000)	DPSCF300001	2295000	11645	0.030022
(354539,365788)(2281168,2328841)(2280000,2330000)	DPSCF300001	2305000	11251	0.030599
(357432,366015)(2290000,2333300)(2290000,2340000)	DPSCF300001	2315000	8585	0.032110
(360049,367172)(2306584,2349158)(2300000,2350000)	DPSCF300001	2325000	7125	0.033774
(361793,368502)(2310000,2359999)(2310000,2360000)	DPSCF300001	2335000	6711	0.030248
(362409,370797)(2320715,2367291)(2320000,2370000)	DPSCF300001	2345000	8390	0.029336
(365789,372593)(2333074,2379999)(2330000,2380000)	DPSCF300001	2355000	6806	0.027042
(366016,375181)(2343326,2383879)(2340000,2390000)	DPSCF300001	2365000	9167	0.027814
(367173,376135)(2350773,2397598)(2350000,2400000)	DPSCF300001	2375000	8964	0.027158
(368503,376135)(2360000,2397598)(2360000,2410000)	DPSCF300001	2385000	7634	0.028640
(370798,379507)(2371789,2419999)(2370000,2420000)	DPSCF300001	2395000	8711	0.022708
(372594,380099)(2380000,2425330)(2380000,2430000)	DPSCF300001	2405000	7507	0.022409
(375182,381776)(2396644,2439784)(2390000,2440000)	DPSCF300001	2415000	6596	0.021125
(376136,382632)(2412358,2447846)(2400000,2450000)	DPSCF300001	2425000	6498	0.021743
(376136,383285)(2412358,2459153)(2410000,2460000)	DPSCF300001	2435000	7151	0.021947
(379508,386314)(2420000,2466902)(2420000,2470000)	DPSCF300001	2445000	6808	0.028306
(380100,386474)(2430811,2471231)(2430000,2480000)	DPSCF300001	2455000	6376	0.028544
(381777,389075)(2441642,2489757)(2440000,2490000)	DPSCF300001	2465000	7300	0.033146
(382633,390557)(2453075,2497810)(2450000,2500000)	DPSCF300001	2475000	7926	0.032706
(383286,393117)(2460078,2508122)(2460000,2510000)	DPSCF300001	2485000	9833	0.032044
(386315,393459)(2471066,2517568)(2470000,2520000)	DPSCF300001	2495000	7146	0.031892
(386475,395565)(2485549,2529999)(2480000,2530000)	DPSCF300001	2505000	9092	0.029799
(389076,398571)(2490120,2539999)(2490000,2540000)	DPSCF300001	2515000	9497	0.028079
(390558,399905)(2500667,2544031)(2500000,2550000)	DPSCF300001	2525000	9349	0.026622
(393118,401440)(2513901,2557654)(2510000,2560000)	DPSCF300001	2535000	8324	0.028100
(393460,403406)(2521853,2569536)(2520000,2570000)	DPSCF300001	2545000	9948	0.031173
(395566,404442)(2530000,2578941)(2530000,2580000)	DPSCF300001	2555000	8878	0.037036
(398572,405281)(2540000,2589999)(2540000,2590000)	DPSCF300001	2565000	6711	0.035993
(399906,406211)(2550433,2591989)(2550000,2600000)	DPSCF300001	2575000	6307	0.037560
(401441,409380)(2561167,2608329)(2560000,2610000)	DPSCF300001	2585000	7941	0.038554
(403407,413381)(2576022,2619999)(2570000,2620000)	DPSCF300001	2595000	9976	0.031681
(404443,413976)(2580301,2629208)(2580000,2630000)	DPSCF300001	2605000	9535	0.022982
(405282,414510)(2590000,2639326)(2590000,2640000)	DPSCF300001	2615000	9230	0.022649
(406212,417281)(2600042,2649092)(2600000,2650000)	DPSCF300001	2625000	11071	0.021714
(409381,418294)(2610155,2654510)(2610000,2660000)	DPSCF300001	2635000	8915	0.023750
(413382,418629)(2620000,2666696)(2620000,2670000)	DPSCF300001	2645000	5249	0.024532
(413977,419319)(2635811,2679569)(2630000,2680000)	DPSCF300001	2655000	5344	0.023865
(414511,421919)(2640436,2688121)(2640000,2690000)	DPSCF300001	2665000	7410	0.025205
(417282,422764)(2653494,2699999)(2650000,2700000)	DPSCF300001	2675000	5484	0.027602
(418295,426020)(2661779,2708709)(2660000,2710000)	DPSCF300001	2685000	7727	0.028478
(418630,428040)(2674952,2718788)(2670000,2720000)	DPSCF300001	2695000	9412	0.028057
(419320,430110)(2683935,2726202)(2680000,2730000)	DPSCF300001	2705000	10792	0.029314
(421920,431500)(2691020,2733243)(2690000,2740000)	DPSCF300001	2715000	9582	0.028785
(422765,434049)(2700000,2749497)(2700000,2750000)	DPSCF300001	2725000	11286	0.028642
(426021,434516)(2713686,2752245)(2710000,2760000)	DPSCF300001	2735000	8497	0.028137
(428041,437019)(2722363,2769293)(2720000,2770000)	DPSCF300001	2745000	8980	0.038992
(430111,437019)(2731746,2769293)(2730000,2780000)	DPSCF300001	2755000	6910	0.040688
(431501,437984)(2740019,2787857)(2740000,2790000)	DPSCF300001	2765000	6485	0.041805
(434050,439226)(2751663,2798910)(2750000,2800000)	DPSCF300001	2775000	5178	0.042558
(434517,440908)(2762848,2805535)(2760000,2810000)	DPSCF300001	2785000	6393	0.041056
(437020,444507)(2783919,2819270)(2770000,2820000)	DPSCF300001	2795000	7489	0.025458
(437020,446919)(2783919,2829164)(2780000,2830000)	DPSCF300001	2805000	9901	0.024890
(437985,448407)(2797665,2839999)(2790000,2840000)	DPSCF300001	2815000	10424	0.025210
(439227,452290)(2801365,2849999)(2800000,2850000)	DPSCF300001	2825000	13065	0.025694
(440909,453828)(2810828,2857530)(2810000,2860000)	DPSCF300001	2835000	12921	0.025744
(444508,454347)(2821686,2866319)(2820000,2870000)	DPSCF300001	2845000	9841	0.024350
(446920,456780)(2832417,2878467)(2830000,2880000)	DPSCF300001	2855000	9862	0.023900
(448408,458254)(2840000,2888164)(2840000,2890000)	DPSCF300001	2865000	9848	0.024250
(452291,459871)(2850000,2899999)(2850000,2900000)	DPSCF300001	2875000	7582	0.021666
(453829,460318)(2863196,2907299)(2860000,2910000)	DPSCF300001	2885000	6491	0.021224
(454348,464630)(2871629,2917721)(2870000,2920000)	DPSCF300001	2895000	10284	0.025452
(456781,466865)(2880121,2927105)(2880000,2930000)	DPSCF300001	2905000	10086	0.025945
(458255,468311)(2892096,2938177)(2890000,2940000)	DPSCF300001	2915000	10058	0.026427
(459872,470243)(2900000,2949337)(2900000,2950000)	DPSCF300001	2925000	10373	0.027896
(460319,472001)(2910976,2957617)(2910000,2960000)	DPSCF300001	2935000	11684	0.026830
(464631,474082)(2921069,2969278)(2920000,2970000)	DPSCF300001	2945000	9453	0.023022
(466866,476742)(2931114,2979999)(2930000,2980000)	DPSCF300001	2955000	9878	0.023291
(468312,478565)(2941879,2988071)(2940000,2990000)	DPSCF300001	2965000	10255	0.023292
(470244,479932)(2952956,2997489)(2950000,3000000)	DPSCF300001	2975000	9690	0.023897
(472002,481205)(2960037,3008310)(2960000,3010000)	DPSCF300001	2985000	9205	0.025513
(474083,482861)(2971400,3018212)(2970000,3020000)	DPSCF300001	2995000	8780	0.026778
(476743,485600)(2980000,3029010)(2980000,3030000)	DPSCF300001	3005000	8859	0.028119
(478566,487815)(2993200,3038582)(2990000,3040000)	DPSCF300001	3015000	9251	0.026729
(479933,489013)(3000832,3047648)(3000000,3050000)	DPSCF300001	3025000	9082	0.026362
(481206,491386)(3010611,3059600)(3010000,3060000)	DPSCF300001	3035000	10182	0.024821
(482862,494841)(3020046,3069163)(3020000,3070000)	DPSCF300001	3045000	11981	0.025512
(485601,497502)(3031140,3079999)(3030000,3080000)	DPSCF300001	3055000	11903	0.025258
(487816,500788)(3042447,3088839)(3040000,3090000)	DPSCF300001	3065000	12974	0.024598
(489014,503909)(3051744,3098573)(3050000,3100000)	DPSCF300001	3075000	14897	0.024791
(491387,504504)(3063427,3109999)(3060000,3110000)	DPSCF300001	3085000	13119	0.025055
(494842,507969)(3070751,3114606)(3070000,3120000)	DPSCF300001	3095000	13129	0.025850
(497503,510217)(3080000,3129999)(3080000,3130000)	DPSCF300001	3105000	12716	0.025272
(500789,513812)(3091700,3137258)(3090000,3140000)	DPSCF300001	3115000	13025	0.027490
(503910,515661)(3107755,3149599)(3100000,3150000)	DPSCF300001	3125000	11753	0.030203
(504505,516957)(3110000,3158198)(3110000,3160000)	DPSCF300001	3135000	12454	0.029870
(507970,521060)(3122587,3168846)(3120000,3170000)	DPSCF300001	3145000	13092	0.030602
(510218,522223)(3130000,3178996)(3130000,3180000)	DPSCF300001	3155000	12007	0.030856
(513813,522810)(3141780,3183593)(3140000,3190000)	DPSCF300001	3165000	8999	0.031621
